Produit,Ville,Prix (€)
"Meal, Inexpensive Restaurant",Paris,18.45
"Meal for 2 People, Mid-range Restaurant, Three-course",Paris,85.0
McMeal at McDonalds (or Equivalent Combo Meal),Paris,12.0
Domestic Beer (0.5 liter draught),Paris,7.0
Imported Beer (0.33 liter bottle),Paris,7.0
Cappuccino (regular),Paris,3.75
Coke/Pepsi (0.33 liter bottle),Paris,3.75
Water (0.33 liter bottle),Paris,3.25
"Milk (regular), (1 liter)",Paris,1.5
Loaf of Fresh White Bread (500g),Paris,2.5
"Rice (white), (1kg)",Paris,2.93
Eggs (regular) (12),Paris,4.0
Local Cheese (1kg),Paris,23.5
Chicken Fillets (1kg),Paris,13.0
Beef Round (1kg) (or Equivalent Back Leg Red Meat),Paris,20.5
Apples (1kg),Paris,2.9
Banana (1kg),Paris,2.69
Oranges (1kg),Paris,3.0
Tomato (1kg),Paris,3.75
Potato (1kg),Paris,2.5
Onion (1kg),Paris,2.5
Lettuce (1 head),Paris,1.75
Water (1.5 liter bottle),Paris,0.84
Bottle of Wine (Mid-Range),Paris,10.0
Domestic Beer (0.5 liter bottle),Paris,2.62
Imported Beer (0.33 liter bottle),Paris,4.5
Cigarettes 20 Pack (Marlboro),Paris,12.75
One-way Ticket (Local Transport),Paris,2.5
Monthly Pass (Regular Price),Paris,86.9
Taxi Start (Normal Tariff),Paris,10.0
Taxi 1km (Normal Tariff),Paris,3.13
Taxi 1hour Waiting (Normal Tariff),Paris,42.75
Gasoline (1 liter),Paris,1.86
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",Paris,273.25
Mobile Phone Monthly Plan with Calls and 10GB+ Data,Paris,13.5
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Paris,35.0
"Fitness Club, Monthly Fee for 1 Adult",Paris,36.25
Tennis Court Rent (1 Hour on Weekend),Paris,16.0
"Cinema, International Release, 1 Seat",Paris,12.5
1 Pair of Jeans (Levis 501 Or Similar),Paris,90.0
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",Paris,52.49
1 Pair of Nike Running Shoes (Mid-Range),Paris,100.0
1 Pair of Men Leather Business Shoes,Paris,150.0
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Paris,3.5
"Meal, Inexpensive Restaurant",Marseille,21.0
"Meal for 2 People, Mid-range Restaurant, Three-course",Marseille,60.0
McMeal at McDonalds (or Equivalent Combo Meal),Marseille,11.72
Domestic Beer (0.5 liter draught),Marseille,6.5
Imported Beer (0.33 liter bottle),Marseille,6.0
Cappuccino (regular),Marseille,3.25
Coke/Pepsi (0.33 liter bottle),Marseille,3.25
Water (0.33 liter bottle),Marseille,2.0
"Milk (regular), (1 liter)",Marseille,1.4
Loaf of Fresh White Bread (500g),Marseille,4.0
"Rice (white), (1kg)",Marseille,2.6
Eggs (regular) (12),Marseille,4.35
Local Cheese (1kg),Marseille,22.5
Chicken Fillets (1kg),Marseille,14.5
Beef Round (1kg) (or Equivalent Back Leg Red Meat),Marseille,20.5
Apples (1kg),Marseille,3.0
Banana (1kg),Marseille,2.0
Oranges (1kg),Marseille,3.75
Tomato (1kg),Marseille,4.0
Potato (1kg),Marseille,2.25
Onion (1kg),Marseille,2.0
Lettuce (1 head),Marseille,2.0
Water (1.5 liter bottle),Marseille,1.12
Bottle of Wine (Mid-Range),Marseille,10.0
Domestic Beer (0.5 liter bottle),Marseille,3.0
Imported Beer (0.33 liter bottle),Marseille,3.25
Cigarettes 20 Pack (Marlboro),Marseille,14.5
One-way Ticket (Local Transport),Marseille,1.75
Monthly Pass (Regular Price),Marseille,49.5
Taxi Start (Normal Tariff),Marseille,7.0
Taxi 1km (Normal Tariff),Marseille,2.75
Taxi 1hour Waiting (Normal Tariff),Marseille,32.5
Gasoline (1 liter),Marseille,1.86
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",Marseille,263.75
Mobile Phone Monthly Plan with Calls and 10GB+ Data,Marseille,20.99
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Marseille,35.0
"Fitness Club, Monthly Fee for 1 Adult",Marseille,35.0
Tennis Court Rent (1 Hour on Weekend),Marseille,20.0
"Cinema, International Release, 1 Seat",Marseille,11.5
1 Pair of Jeans (Levis 501 Or Similar),Marseille,115.0
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",Marseille,37.5
1 Pair of Nike Running Shoes (Mid-Range),Marseille,119.5
1 Pair of Men Leather Business Shoes,Marseille,125.0
Apartment (1 bedroom) in City Centre,Marseille,750.0
Apartment (1 bedroom) Outside of Centre,Marseille,600.0
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Marseille,4.25
"Meal, Inexpensive Restaurant",Lyon,16.0
"Meal for 2 People, Mid-range Restaurant, Three-course",Lyon,60.0
McMeal at McDonalds (or Equivalent Combo Meal),Lyon,10.72
Domestic Beer (0.5 liter draught),Lyon,6.5
Imported Beer (0.33 liter bottle),Lyon,6.0
Cappuccino (regular),Lyon,3.0
Coke/Pepsi (0.33 liter bottle),Lyon,3.0
Water (0.33 liter bottle),Lyon,1.75
"Milk (regular), (1 liter)",Lyon,1.5
Loaf of Fresh White Bread (500g),Lyon,4.25
"Rice (white), (1kg)",Lyon,2.35
Eggs (regular) (12),Lyon,3.67
Local Cheese (1kg),Lyon,24.0
Chicken Fillets (1kg),Lyon,14.75
Beef Round (1kg) (or Equivalent Back Leg Red Meat),Lyon,20.5
Apples (1kg),Lyon,2.5
Banana (1kg),Lyon,2.4
Oranges (1kg),Lyon,3.0
Tomato (1kg),Lyon,3.0
Potato (1kg),Lyon,2.25
Onion (1kg),Lyon,2.4
Lettuce (1 head),Lyon,1.5
Water (1.5 liter bottle),Lyon,0.88
Bottle of Wine (Mid-Range),Lyon,10.0
Domestic Beer (0.5 liter bottle),Lyon,2.0
Imported Beer (0.33 liter bottle),Lyon,2.25
Cigarettes 20 Pack (Marlboro),Lyon,14.5
One-way Ticket (Local Transport),Lyon,2.1
Monthly Pass (Regular Price),Lyon,71.5
Taxi Start (Normal Tariff),Lyon,5.0
Taxi 1km (Normal Tariff),Lyon,1.8
Taxi 1hour Waiting (Normal Tariff),Lyon,40.0
Gasoline (1 liter),Lyon,1.81
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",Lyon,275.0
Mobile Phone Monthly Plan with Calls and 10GB+ Data,Lyon,20.99
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Lyon,31.5
"Fitness Club, Monthly Fee for 1 Adult",Lyon,57.5
Tennis Court Rent (1 Hour on Weekend),Lyon,20.0
"Cinema, International Release, 1 Seat",Lyon,11.25
1 Pair of Jeans (Levis 501 Or Similar),Lyon,90.0
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",Lyon,40.0
1 Pair of Nike Running Shoes (Mid-Range),Lyon,85.0
1 Pair of Men Leather Business Shoes,Lyon,125.0
Apartment (1 bedroom) Outside of Centre,Lyon,700.0
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Lyon,3.77
"Meal, Inexpensive Restaurant",Toulouse,14.0
"Meal for 2 People, Mid-range Restaurant, Three-course",Toulouse,65.0
McMeal at McDonalds (or Equivalent Combo Meal),Toulouse,11.0
Domestic Beer (0.5 liter draught),Toulouse,6.5
Imported Beer (0.33 liter bottle),Toulouse,6.0
Cappuccino (regular),Toulouse,2.75
Coke/Pepsi (0.33 liter bottle),Toulouse,2.5
Water (0.33 liter bottle),Toulouse,1.75
"Milk (regular), (1 liter)",Toulouse,1.5
Loaf of Fresh White Bread (500g),Toulouse,2.1
"Rice (white), (1kg)",Toulouse,2.25
Eggs (regular) (12),Toulouse,3.6
Local Cheese (1kg),Toulouse,22.5
Chicken Fillets (1kg),Toulouse,11.0
Beef Round (1kg) (or Equivalent Back Leg Red Meat),Toulouse,16.0
Apples (1kg),Toulouse,2.85
Banana (1kg),Toulouse,3.5
Oranges (1kg),Toulouse,2.75
Tomato (1kg),Toulouse,3.0
Potato (1kg),Toulouse,2.2
Onion (1kg),Toulouse,2.25
Lettuce (1 head),Toulouse,2.75
Water (1.5 liter bottle),Toulouse,0.72
Bottle of Wine (Mid-Range),Toulouse,10.5
Domestic Beer (0.5 liter bottle),Toulouse,3.1
Imported Beer (0.33 liter bottle),Toulouse,2.5
Cigarettes 20 Pack (Marlboro),Toulouse,16.0
One-way Ticket (Local Transport),Toulouse,2.1
Monthly Pass (Regular Price),Toulouse,56.0
Taxi Start (Normal Tariff),Toulouse,3.73
Taxi 1km (Normal Tariff),Toulouse,1.24
Taxi 1hour Waiting (Normal Tariff),Toulouse,41.85
Gasoline (1 liter),Toulouse,1.79
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",Toulouse,179.38
Mobile Phone Monthly Plan with Calls and 10GB+ Data,Toulouse,20.99
