Ville,Indice,Valeur,Niveau
Paris,,,
Paris,Quality of Life Index,137.67,N/A
Paris,Purchasing Power Index,108.38,High
Paris,Safety Index,42.11,Moderate
Paris,Health Care Index,77.60,High
Paris,Climate Index,88.39,Very High
Paris,Cost of Living Index,67.88,Moderate
Paris,Property Price to Income Ratio,17.25,Very High
Paris,Traffic Commute Time Index,41.07,High
Paris,Pollution Index,64.00,High
Paris,ƒQuality of Life Index,137.67,Moderate
Paris,Your Email Address,,N/A
Paris,Quality of Life inMalakoff,6.94 km,N/A
Paris,Quality of Life inChaville,15.39 km,N/A
Paris,Quality of Life inGuyancourt,28.01 km,N/A
Paris,Quality of Life inChartres,90.54 km,N/A
Paris,Quality of Life inRouen,131.62 km,N/A
Paris,Quality of Life inOrleans,132.62 km,N/A
Paris,Quality of Life inAmiens,139.87 km,N/A
Paris,Quality of Life inReims,143.76 km,N/A
Paris,Quality of Life inLe Havre,195.79 km,N/A
Paris,Quality of Life inLe Mans,208.77 km,N/A
Marseille,,,
Marseille,Quality of Life Index,137.21,N/A
Marseille,Purchasing Power Index,91.18,High
Marseille,Safety Index,33.98,Low
Marseille,Health Care Index,82.37,Very High
Marseille,Climate Index,92.70,Very High
Marseille,Cost of Living Index,62.00,Moderate
Marseille,Property Price to Income Ratio,10.30,Moderate
Marseille,Traffic Commute Time Index,30.24,Low
Marseille,Pollution Index,72.72,High
Marseille,ƒQuality of Life Index,137.21,Moderate
Marseille,Your Email Address,,N/A
Marseille,Quality of Life inAix-en-Provence,33.25 km,N/A
Marseille,Quality of Life inToulon,65.45 km,N/A
Marseille,Quality of Life inAvignon,106.90 km,N/A
Marseille,Quality of Life inNimes,124.36 km,N/A
Marseille,Quality of Life inMontpellier,171.04 km,N/A
Marseille,Quality of Life inAntibes,198.70 km,N/A
Marseille,Quality of Life inNice,214.75 km,N/A
Marseille,Quality of Life inValence,216.96 km,N/A
Marseille,Quality of Life inGrenoble,308.74 km,N/A
Marseille,Quality of Life inLyon,316.94 km,N/A
Lyon,,,
Lyon,Quality of Life Index,158.79,N/A
Lyon,Purchasing Power Index,113.60,Very High
Lyon,Safety Index,42.95,Moderate
Lyon,Health Care Index,76.08,High
Lyon,Climate Index,88.51,Very High
Lyon,Cost of Living Index,62.75,Moderate
Lyon,Property Price to Income Ratio,9.60,Moderate
Lyon,Traffic Commute Time Index,35.78,Moderate
Lyon,Pollution Index,51.46,Moderate
Lyon,ƒQuality of Life Index,158.79,High
Lyon,Your Email Address,,N/A
Lyon,Quality of Life inVilleurbanne,4.49 km,N/A
Lyon,Quality of Life inGrezieu la Varenne,15.60 km,N/A
Lyon,Quality of Life inBourgoin-Jallieu,43.69 km,N/A
Lyon,Quality of Life inSaint-Etienne,63.06 km,N/A
Lyon,Quality of Life inMacon,73.00 km,N/A
